id,target
1,"a^2+b^2=c^2"
2,"a^2+b^2=c^2"
3,"a^2+b^2=c^2"
4,"a^2+b^2=c^2"
5,"a^2+b^2=c^2"
6,"a^2+b^2=c^2"
7,"a^2+b^2=c^2"
8,"a^2+b^2=c^2"
9,"a^2+b^2=c^2"
10,"a^2+b^2=c^2"
11,"a^2+b^2=c^2"
12,"a^2+b^2=c^2"
13,"a^2+b^2=c^2"
14,"a^2+b^2=c^2"
15,"a^2+b^2=c^2"
16,"a^2+b^2=c^2"
17,"a^2+b^2=c^2"
18,"a^2+b^2=c^2"
19,"a^2+b^2=c^2"
20,"a^2+b^2=c^2"
21,"a^2+b^2=c^2"
22,"a^2+b^2=c^2"
23,"a^2+b^2=c^2"
24,"a^2+b^2=c^2"
25,"a^2+b^2=c^2"
26,"a^2+b^2=c^2"
27,"a^2+b^2=c^2"
28,"a^2+b^2=c^2"
29,"a^2+b^2=c^2"
30,"a^2+b^2=c^2"
31,"a^2+b^2=c^2"
32,"a^2+b^2=c^2"
33,"a^2+b^2=c^2"
34,"a^2+b^2=c^2"
35,"a^2+b^2=c^2"
36,"a^2+b^2=c^2"
37,"a^2+b^2=c^2"
38,"a^2+b^2=c^2"
39,"a^2+b^2=c^2"
40,"a^2+b^2=c^2"
41,"a^2+b^2=c^2"
42,"a^2+b^2=c^2"
43,"a^2+b^2=c^2"
44,"a^2+b^2=c^2"
45,"a^2+b^2=c^2"
46,"a^2+b^2=c^2"
47,"a^2+b^2=c^2"
48,"a^2+b^2=c^2"
49,"a^2+b^2=c^2"
50,"a^2+b^2=c^2"
51,"a^2+b^2=c^2"
52,"a^2+b^2=c^2"
53,"a^2+b^2=c^2"
54,"a^2+b^2=c^2"
55,"a^2+b^2=c^2"
56,"a^2+b^2=c^2"
57,"a^2+b^2=c^2"
58,"a^2+b^2=c^2"
59,"a^2+b^2=c^2"
60,"a^2+b^2=c^2"
61,"a^2+b^2=c^2"
62,"a^2+b^2=c^2"
63,"a^2+b^2=c^2"
64,"a^2+b^2=c^2"
65,"a^2+b^2=c^2"
66,"a^2+b^2=c^2"
67,"a^2+b^2=c^2"
68,"a^2+b^2=c^2"
69,"a^2+b^2=c^2"
70,"a^2+b^2=c^2"
71,"a^2+b^2=c^2"
72,"a^2+b^2=c^2"
73,"a^2+b^2=c^2"
74,"a^2+b^2=c^2"
75,"a^2+b^2=c^2"
76,"a^2+b^2=c^2"
77,"a^2+b^2=c^2"
78,"a^2+b^2=c^2"
79,"a^2+b^2=c^2"
80,"a^2+b^2=c^2"
81,"a^2+b^2=c^2"
82,"a^2+b^2=c^2"
83,"a^2+b^2=c^2"
84,"a^2+b^2=c^2"
85,"a^2+b^2=c^2"
86,"a^2+b^2=c^2"
87,"a^2+b^2=c^2"
88,"a^2+b^2=c^2"
89,"a^2+b^2=c^2"
90,"a^2+b^2=c^2"
91,"a^2+b^2=c^2"
92,"a^2+b^2=c^2"
93,"a^2+b^2=c^2"
94,"a^2+b^2=c^2"
95,"a^2+b^2=c^2"
96,"a^2+b^2=c^2"
97,"a^2+b^2=c^2"
98,"a^2+b^2=c^2"
99,"a^2+b^2=c^2"
100,"a^2+b^2=c^2"
101,"a^2+b^2=c^2"
102,"a^2+b^2=c^2"
103,"a^2+b^2=c^2"
104,"a^2+b^2=c^2"
105,"a^2+b^2=c^2"
106,"a^2+b^2=c^2"
107,"a^2+b^2=c^2"
108,"a^2+b^2=c^2"
109,"a^2+b^2=c^2"
110,"a^2+b^2=c^2"
111,"a^2+b^2=c^2"
112,"a^2+b^2=c^2"
113,"a^2+b^2=c^2"
114,"a^2+b^2=c^2"
115,"a^2+b^2=c^2"
116,"a^2+b^2=c^2"
117,"a^2+b^2=c^2"
118,"a^2+b^2=c^2"
119,"a^2+b^2=c^2"
120,"a^2+b^2=c^2"
121,"a^2+b^2=c^2"
122,"a^2+b^2=c^2"
123,"a^2+b^2=c^2"
124,"a^2+b^2=c^2"
125,"a^2+b^2=c^2"
126,"a^2+b^2=c^2"
127,"a^2+b^2=c^2"
128,"a^2+b^2=c^2"
129,"a^2+b^2=c^2"
130,"a^2+b^2=c^2"
131,"a^2+b^2=c^2"
132,"a^2+b^2=c^2"
133,"a^2+b^2=c^2"
134,"a^2+b^2=c^2"
135,"a^2+b^2=c^2"
136,"a^2+b^2=c^2"
137,"a^2+b^2=c^2"
138,"a^2+b^2=c^2"
139,"a^2+b^2=c^2"
140,"a^2+b^2=c^2"
141,"a^2+b^2=c^2"
142,"a^2+b^2=c^2"
143,"a^2+b^2=c^2"
144,"a^2+b^2=c^2"
145,"a^2+b^2=c^2"
146,"a^2+b^2=c^2"
147,"a^2+b^2=c^2"
148,"a^2+b^2=c^2"
149,"a^2+b^2=c^2"
150,"a^2+b^2=c^2"
151,"a^2+b^2=c^2"
152,"a^2+b^2=c^2"
153,"a^2+b^2=c^2"
154,"a^2+b^2=c^2"
155,"a^2+b^2=c^2"
156,"a^2+b^2=c^2"
157,"a^2+b^2=c^2"
158,"a^2+b^2=c^2"
159,"a^2+b^2=c^2"
160,"a^2+b^2=c^2"
161,"a^2+b^2=c^2"
162,"a^2+b^2=c^2"
163,"a^2+b^2=c^2"
164,"a^2+b^2=c^2"
165,"a^2+b^2=c^2"
166,"a^2+b^2=c^2"
167,"a^2+b^2=c^2"
168,"a^2+b^2=c^2"
169,"a^2+b^2=c^2"
170,"a^2+b^2=c^2"
171,"a^2+b^2=c^2"
172,"a^2+b^2=c^2"
173,"a^2+b^2=c^2"
174,"a^2+b^2=c^2"
175,"a^2+b^2=c^2"
176,"a^2+b^2=c^2"
177,"a^2+b^2=c^2"
178,"a^2+b^2=c^2"
179,"a^2+b^2=c^2"
